text,intent,sentiment
Chao ban may,Chitchat,Positive
Chao ban may ban,Chitchat,Positive
Chao ban may bot,Chitchat,Positive
Chao ban may di,Chitchat,Positive
Chao ban may ha,Chitchat,Positive
Chao ban may nha,Chitchat,Positive
Chao ban may oi,Chitchat,Positive
Chao ban may thoi,Chitchat,Positive
Chao ban may vay,Chitchat,Positive
Chao ban minh di day,Chitchat,Neutral
Chao ban nha,Chitchat,Neutral
Chao ban nhe,Chitchat,Positive
Chao ban oi,Chitchat,Negative
Chao ban thoi,Chitchat,Neutral
Chao ban thoi nha,Chitchat,Neutral
Chao ban thui,Chitchat,Neutral
Chao ban vay,Chitchat,Neutral
Chill chút nha,Chitchat,Positive
Chill đi bạn ơi,Chitchat,Positive
Chill đi bạn ơi #279,Chitchat,Positive
Cho mình hỏi tí thôi nhé,Chitchat,Neutral
Cho mình xin lời khuyên,Chitchat,Negative
Chuc ban ngay tot lanh,Chitchat,Positive
Chuc mung ban nhe,Chitchat,Positive
Chào,Chitchat,Negative
Chào a,Chitchat,Neutral
Chào ban,Chitchat,Neutral
Chào bot,Chitchat,Neutral
Chào bot bot,Chitchat,Neutral
Chào bot bạn,Chitchat,Neutral
Chào bot mình,Chitchat,Neutral
Chào bot tui,Chitchat,Neutral
Chào buổi sáng nha,Chitchat,Neutral
Chào buổi sáng nha bot,Chitchat,Neutral
Chào buổi sáng nha bạn,Chitchat,Neutral
Chào buổi sáng nha mình,Chitchat,Neutral
Chào buổi sáng nha tui,Chitchat,Neutral
Chào buổi trưa nha,Chitchat,Neutral
Chào buổi tối nha,Chitchat,Neutral
Chào bạn,Chitchat,Neutral
Chào bạn bot,Chitchat,Neutral
Chào bạn bạn,Chitchat,Neutral
Chào bạn mình,Chitchat,Neutral
"Chào bạn nha, ghé chào chút",Chitchat,Neutral
"Chào bạn nha, ghé chào chút #261",Chitchat,Neutral
"Chào bạn nha, ghé chào chút #286",Chitchat,Neutral
Chào bạn tui,Chitchat,Neutral
Chào chut xiu,Chitchat,Neutral
Chào cái coi,Chitchat,Neutral
Chào cả nhà,Chitchat,Neutral
Chào di,Chitchat,Neutral
Chào ha,Chitchat,Neutral
Chào hen,Chitchat,Neutral
Chào may,Chitchat,Positive
Chào minh di day,Chitchat,Neutral
Chào mn,Chitchat,Neutral
Chào nha,Chitchat,Neutral
Chào nhe,Chitchat,Negative
Chào oi,Chitchat,Neutral
Chào thoi,Chitchat,Neutral
Chào thoi nha,Chitchat,Neutral
Chào thui,Chitchat,Neutral
Chào vay,Chitchat,Neutral
Chán nhẹ luôn,Chitchat,Negative
Chúc bạn hôm nay bảnh hơn hôm qua,Chitchat,Positive
Chúc bạn hôm nay bảnh hơn hôm qua #274,Chitchat,Positive
Chúc bạn hôm nay bảnh hơn hôm qua #299,Chitchat,Positive
Chúc bạn một ngày vui vẻ,Chitchat,Positive
Chúc bạn ngày mới vui vẻ,Chitchat,Negative
Chúc bạn ngủ ngon,Chitchat,Positive
Chúc cuối tuần ổn áp,Chitchat,Positive
Chúc ngủ ngon nha,Chitchat,Positive
Chúc team làm app ngày càng thành công nha,Chitchat,Positive
Chưa bắt nhịp kịp luôn,Chitchat,Negative
Chưa hiểu lắm,Chitchat,Neutral
Chỉ hỏi thăm chút thôi,Chitchat,Neutral
Chỉ tui cách làm với,Chitchat,Neutral
Cuối tuần làm gì đó,Chitchat,Neutral
Cám ơn nhiều,Chitchat,Positive
Câu này đỉnh quá,Chitchat,Positive
Câu trả lời rất ổn,Chitchat,Positive
Cãi nhau với sếp mệt nghỉ luôn,Chitchat,Negative
Có ai online không,Chitchat,Neutral
Có ai trả lời tui không,Chitchat,Neutral
Có ai ở đây không,Chitchat,Neutral
Có ai ở đây không bot,Chitchat,Neutral
Có ai ở đây không bạn,Chitchat,Neutral
Có ai ở đây không mình,Chitchat,Neutral
Có ai ở đây không tui,Chitchat,Neutral
Có chuyện gì vui không,Chitchat,Neutral
Có chút cộc nhẹ,Chitchat,Negative
Có gì mới không,Chitchat,Neutral
Có gì mới kể tui nghe với,Chitchat,Neutral
Có hỗ trợ tiếng Anh không,Chitchat,Neutral
Cũng vui phết đó,Chitchat,Positive
Cảm giác cô đơn quá đi mất,Chitchat,Negative
Cảm giác hôm nay bình thường,Chitchat,Negative
Cảm giác vui hơn hẳn,Chitchat,Positive
Cảm ơn bot nhiều nè,Chitchat,Positive
Cảm ơn bot nhiều nè #262,Chitchat,Positive
Cảm ơn bot nhiều nè #287,Chitchat,Positive
Cảm ơn bạn nhiều,Chitchat,Negative
Cảm ơn bạn nhiều lắm luôn,Chitchat,Positive
Cảm ơn bạn đã giúp mình,Chitchat,Positive
"Cảm ơn bạn, dễ thương ghê",Chitchat,Positive
Cảm ơn hén,Chitchat,Positive
Cảm ơn nha,Chitchat,Positive
Cảm ơn nha luôn,Chitchat,Positive
Cảm ơn nha nha,Chitchat,Positive
Cảm ơn nhiều nhiều luôn,Chitchat,Positive
Cảm ơn nhiều nhiều luôn luôn,Chitchat,Positive
Cảm ơn nhiều nhiều luôn nha,Chitchat,Positive
"Cảm ơn nhé, mình thấy tốt hơn",Chitchat,Positive
Cảm ơn vì đã lắng nghe,Chitchat,Negative
Cứu tui với,Chitchat,Neutral
Cực kỳ dễ thương,Chitchat,Positive
Dang buon lam,Chitchat,Negative
Dang rat met moi,Chitchat,Negative
Dang yeu qua di,Chitchat,Positive
Dạo này ổn không,Chitchat,Neutral
Dễ thương xỉu luôn,Chitchat,Positive
Dễ thương xỉu luôn #277,Chitchat,Positive
Gap ban la vui roi,Chitchat,Positive
Giao diện nhìn ổn áp,Chitchat,Neutral
Giờ mấy giờ rồi nhỉ,Chitchat,Neutral
Haha cuoi met,Chitchat,Positive
Hay quá trời,Chitchat,Positive
Hay that su luon,Chitchat,Positive
Hello,Chitchat,Negative
Hello a,Chitchat,Negative
Hello ban,Chitchat,Neutral
Hello bot,Chitchat,Neutral
"Hello bot, nghe nè",Chitchat,Neutral
Hello chut xiu,Chitchat,Neutral
Hello di,Chitchat,Neutral
Hello ha,Chitchat,Positive
Hello hello,Chitchat,Neutral
Hello hello #271,Chitchat,Neutral
Hello hello #296,Chitchat,Neutral
Hello hen,Chitchat,Neutral
Hello may,Chitchat,Positive
Hello minh di day,Chitchat,Neutral
Hello nha,Chitchat,Positive
Hello nhe,Chitchat,Negative
Hello oi,Chitchat,Negative
Hello thoi,Chitchat,Neutral
Hello thoi nha,Chitchat,Positive
Hello thui,Chitchat,Negative
Hello vay,Chitchat,Neutral
Hi a,Chitchat,Negative
Hi ban,Chitchat,Neutral
Hi bot,Chitchat,Neutral
Hi bot bot,Chitchat,Neutral
Hi bot bạn,Chitchat,Neutral
Hi bot mình,Chitchat,Neutral
Hi bot tui,Chitchat,Neutral
Hi bạn ơi,Chitchat,Neutral
Hi chut xiu,Chitchat,Neutral
Hi di,Chitchat,Negative
Hi ha,Chitchat,Positive
Hi hen,Chitchat,Neutral
Hi hi,Chitchat,Positive
Hi hi #272,Chitchat,Positive
Hi hi #297,Chitchat,Positive
Hi may,Chitchat,Negative
Hi minh di day,Chitchat,Neutral
Hi nha,Chitchat,Negative
Hi nhe,Chitchat,Neutral
Hi oi,Chitchat,Positive
Hi thoi,Chitchat,Neutral
Hi thoi nha,Chitchat,Neutral
Hi thui,Chitchat,Positive
Hi vay,Chitchat,Negative
Hihi vui ghie,Chitchat,Positive
Hom nay buon qua di,Chitchat,Negative
Hom nay vui qua ha,Chitchat,Positive
"Hí hí, tui tới nè",Chitchat,Neutral
Hôm nay bình thường,Chitchat,Neutral
Hôm nay bạn thế nào,Chitchat,Neutral
Hôm nay bạn vui không,Chitchat,Neutral
Hôm nay chán thật,Chitchat,Negative
Hôm nay là ngày tuyệt vời,Chitchat,Positive
Hôm nay là thứ mấy vậy bạn,Chitchat,Neutral
Hôm nay mood bạn sao rồi,Chitchat,Neutral
Hôm nay mood bạn sao rồi bot,Chitchat,Neutral
Hôm nay mood bạn sao rồi bạn,Chitchat,Neutral
Hôm nay mood bạn sao rồi mình,Chitchat,Neutral
Hôm nay mood bạn sao rồi tui,Chitchat,Neutral
Hôm nay mình buồn quá,Chitchat,Negative
Hôm nay mình vui quá,Chitchat,Positive
Hôm nay mệt bở hơi tai luôn,Chitchat,Negative
Hôm nay nắng hay mưa ta,Chitchat,Neutral
Hôm nay trúng mini game vui ghê,Chitchat,Positive
Hôm nay trời sao rồi ta,Chitchat,Neutral
Hôm nay trời đẹp không,Chitchat,Neutral
Hôm nay trời đẹp không bot,Chitchat,Neutral
Hôm nay trời đẹp không bạn,Chitchat,Neutral
Hôm nay trời đẹp không mình,Chitchat,Neutral
Hôm nay trời đẹp không tui,Chitchat,Neutral
Hôm nay trời ổn không bạn,Chitchat,Neutral
Hôm nay trời ổn không bạn #265,Chitchat,Neutral
Hôm nay trời ổn không bạn #290,Chitchat,Neutral
Hơi căng đó nha,Chitchat,Negative
Hơi cấn nha,Chitchat,Negative
Hơi cấn nha xíu,Chitchat,Negative
Hơi khó hiểu thật,Chitchat,Negative
Hơi lăn tăn chút,Chitchat,Negative
Hơi lăn tăn chút #278,Chitchat,Negative
Hơi mệt nhưng vẫn ổn,Chitchat,Negative
Hơi rối một tí,Chitchat,Neutral
Hẹn gặp lại sau,Chitchat,Positive
Hế lô,Chitchat,Neutral
Hế lô a,Chitchat,Neutral
Hế lô ban,Chitchat,Neutral
Hế lô bot,Chitchat,Neutral
Hế lô chut xiu,Chitchat,Positive
Hế lô di,Chitchat,Positive
Hế lô ha,Chitchat,Negative
Hế lô hen,Chitchat,Neutral
Hế lô may,Chitchat,Negative
Hế lô minh di day,Chitchat,Neutral
Hế lô nha,Chitchat,Neutral
Hế lô nhe,Chitchat,Neutral
Hế lô oi,Chitchat,Neutral
Hế lô thoi,Chitchat,Neutral
Hế lô thoi nha,Chitchat,Neutral
Hế lô thui,Chitchat,Positive
Hế lô vay,Chitchat,Neutral
Hỏi chơi chút thôi,Chitchat,Neutral
Hỏi chơi chút thôi #268,Chitchat,Neutral
Hỏi chơi chút thôi #293,Chitchat,Neutral
Không biết phải nói gì,Chitchat,Negative
Không có gì quan trọng đâu,Chitchat,Neutral
Không hiểu lắm,Chitchat,Negative
Không hiểu lắm #283,Chitchat,Negative
Không vào được,Chitchat,Neutral
Không vào được bot,Chitchat,Neutral
Không vào được bạn,Chitchat,Neutral
Không vào được mình,Chitchat,Neutral
Không vào được tui,Chitchat,Neutral
Không ổn chút nào,Chitchat,Negative
Lâu quá chưa tám,Chitchat,Neutral
Lú quá trời,Chitchat,Negative
Mai gặp lại nha,Chitchat,Positive
Mai gặp lại nha #276,Chitchat,Positive
Mai nói chuyện tiếp nha,Chitchat,Positive
Mai tính tiếp nha,Chitchat,Neutral
Met moi roi that su,Chitchat,Negative
Met moi vo cung,Chitchat,Negative
Met nguoi roi,Chitchat,Negative
Met qua khong noi nen loi,Chitchat,Negative
Met qua muon nghi roi,Chitchat,Negative
Met qua roi ngu thang,Chitchat,Negative
Met qua roi ve ngu,Chitchat,Negative
Met vi lam nhieu qua,Chitchat,Negative
"Mlem, nghe thích ghê",Chitchat,Positive
Màn hình bị đứng rồi,Chitchat,Neutral
Mê câu này ghê,Chitchat,Positive
Mình chỉ muốn nói chuyện chút thôi,Chitchat,Neutral
Mình chỉ đang lướt app cho đỡ buồn,Chitchat,Neutral
Mình có chuyện muốn hỏi,Chitchat,Neutral
Mình căng thẳng quá,Chitchat,Negative
Mình cần bạn giúp chút,Chitchat,Neutral
Mình cần tư vấn nhẹ,Chitchat,Neutral
Mình hơi chán không muốn làm gì cả,Chitchat,Negative
Mình lo lắng nhiều quá,Chitchat,Negative
Mình muốn hỏi chút,Chitchat,Positive
Mình muốn hỏi ý kiến,Chitchat,Neutral
Mình muốn tâm sự chút,Chitchat,Neutral
Mình mệt mỏi lắm,Chitchat,Negative
Mình mới uống cà phê xong tinh thần phơi phới,Chitchat,Positive
Mình rất hài lòng,Chitchat,Positive
Mình stress quá,Chitchat,Negative
Mình thất vọng quá,Chitchat,Negative
Mình thấy có động lực hơn,Chitchat,Positive
Mình thấy nhẹ nhõm rồi,Chitchat,Positive
Mình thấy nặng nề,Chitchat,Negative
Mình vui quá đi mất thôi,Chitchat,Positive
Mình đang băn khoăn,Chitchat,Neutral
Mình đang hơi mệt,Chitchat,Positive
Mình đang nghĩ linh tinh,Chitchat,Neutral
Mình đang rảnh,Chitchat,Neutral
Mình đi đây nha,Chitchat,Positive
Mạng hôm nay lag ghê,Chitchat,Neutral
Mọi thứ đang ổn lên,Chitchat,Positive
Nay bạn sao rồi,Chitchat,Neutral
Nghe hợp lý ghê,Chitchat,Positive
Nghe nhạc chill một mình cũng được,Chitchat,Neutral
Nghe vậy mà tui vẫn mơ hồ,Chitchat,Negative
Nghe vậy mình thấy yên tâm,Chitchat,Positive
Ngủ ngon nghen,Chitchat,Positive
"Ngủ sớm nha, mai tám tiếp",Chitchat,Positive
"Ngủ sớm nha, mai tám tiếp #266",Chitchat,Positive
"Ngủ sớm nha, mai tám tiếp #291",Chitchat,Positive
Nhắn lại giúp tui với,Chitchat,Neutral
Nhớ giữ sức khỏe đó,Chitchat,Neutral
Noi chuyen rat vui,Chitchat,Positive
Nè a,Chitchat,Neutral
Nè ban,Chitchat,Neutral
Nè bot,Chitchat,Neutral
Nè chut xiu,Chitchat,Neutral
Nè di,Chitchat,Neutral
Nè ha,Chitchat,Neutral
Nè hen,Chitchat,Negative
Nè may,Chitchat,Neutral
Nè minh di day,Chitchat,Neutral
Nè nha,Chitchat,Positive
Nè nhe,Chitchat,Neutral
"Nè nè, có ai ở đó không",Chitchat,Neutral
Nè oi,Chitchat,Negative
Nè thoi,Chitchat,Negative
Nè thoi nha,Chitchat,Positive
Nè thui,Chitchat,Neutral
Nè vay,Chitchat,Neutral
Nói chuyện cho đỡ chán,Chitchat,Neutral
Nói chuyện chơi chút đi,Chitchat,Neutral
Nói chuyện xíu nha,Chitchat,Neutral
Nút này bấm sao,Chitchat,Neutral
Năm mới chúc mọi người an khang thịnh vượng,Chitchat,Positive
Ok cảm ơn để mình xem lại,Chitchat,Neutral
"Okela, hiểu rồi",Chitchat,Positive
"Okela, hiểu rồi luôn",Chitchat,Positive
"Okela, hiểu rồi nha",Chitchat,Positive
"Okie, cảm ơn nha",Chitchat,Positive
Peace nha,Chitchat,Positive
Ping thử xem bot có online không,Chitchat,Neutral
Pó tay thật sự,Chitchat,Negative
Pó tay thật sự xíu,Chitchat,Negative
Qua tuyet voi luon,Chitchat,Positive
Random chat thôi đừng ghi chi tiêu giùm,Chitchat,Neutral
Rat biet on ban,Chitchat,Positive
Rat hai long ve ban,Chitchat,Positive
Rat vui khi chat,Chitchat,Positive
"Rảnh không, tám chút nha",Chitchat,Neutral
Rất cảm ơn bạn,Chitchat,Positive
Rất hợp vibe,Chitchat,Positive
Rối như tơ vò,Chitchat,Negative
Stress hoc tap qua,Chitchat,Negative
Stress qua di mat,Chitchat,Negative
Stress quá không biết làm sao,Chitchat,Negative
Sáng nay dậy chưa,Chitchat,Neutral
Sợ không đủ tiền cuối tháng quá,Chitchat,Negative
Tam su vui lam,Chitchat,Positive
Thanks ban that tot,Chitchat,Positive
Thanks bot rat tot,Chitchat,Positive
Thanks nhieu nha,Chitchat,Positive
That buon ve chuyen do,Chitchat,Negative
That buon ve cuoc doi,Chitchat,Negative
That su rat buon,Chitchat,Negative
That vong tram trong,Chitchat,Negative
That vong ve ket qua,Chitchat,Negative
That vong ve minh,Chitchat,Negative
Thich bot qua di,Chitchat,Positive
"Thx bot, xịn quá",Chitchat,Positive
"Thx bot, xịn quá luôn",Chitchat,Positive
"Thx bot, xịn quá nha",Chitchat,Positive
Thích app của bạn quá đi mất,Chitchat,Positive
Thông minh ghê á,Chitchat,Positive
Thương bot quá trời,Chitchat,Positive
Thương bot quá trời #284,Chitchat,Positive
Thất vọng ghê chuyện gì cũng hỏng,Chitchat,Negative
Thử lại đi,Chitchat,Neutral
Thử lại đi bot,Chitchat,Neutral
Thử lại đi bạn,Chitchat,Neutral
Thử lại đi mình,Chitchat,Neutral
Thử lại đi tui,Chitchat,Neutral
Toang nhẹ rồi,Chitchat,Negative
Toang nhẹ rồi xíu,Chitchat,Negative
Tot hon minh nghi,Chitchat,Positive
Tot qua troi oi,Chitchat,Positive
Trưa nay ăn gì chưa,Chitchat,Neutral
Trời ngoài kia sao rồi,Chitchat,Neutral
Tui bị kẹt chỗ này,Chitchat,Neutral
Tui bị đứng hình mất rồi,Chitchat,Negative
Tui chỉ ghé qua thôi,Chitchat,Neutral
Tui cười xỉu luôn,Chitchat,Positive
Tui ghé chào cái thôi,Chitchat,Neutral
Tui hơi bối rối xíu,Chitchat,Negative
Tui hơi bối rối xíu #269,Chitchat,Negative
Tui hơi bối rối xíu #294,Chitchat,Negative
Tui hơi lú xíu,Chitchat,Negative
Tui hơi lú xíu xíu,Chitchat,Negative
Tui hỏi vu vơ thôi nha,Chitchat,Neutral
Tui hỏi vu vơ thôi nha #280,Chitchat,Neutral
Tui hỏi vu vơ thôi nha bot,Chitchat,Neutral
Tui hỏi vu vơ thôi nha bạn,Chitchat,Neutral
Tui hỏi vu vơ thôi nha mình,Chitchat,Neutral
Tui hỏi vu vơ thôi nha tui,Chitchat,Neutral
Tui lạc đường rồi,Chitchat,Neutral
Tui muốn tám chút,Chitchat,Neutral
Tui out đây,Chitchat,Positive
Tui thấy hơi rối,Chitchat,Negative
Tui thấy ổn áp,Chitchat,Positive
Tui xin phép off nha,Chitchat,Neutral
Tui xin phép off nha #275,Chitchat,Neutral
Tui xin phép off nha #300,Chitchat,Neutral
Tui đang buồn ngủ quá,Chitchat,Negative
Tui đang chờ nè,Chitchat,Neutral
Tui đang hóng nè,Chitchat,Neutral
Tui đang hóng nè #264,Chitchat,Neutral
Tui đang hóng nè #289,Chitchat,Neutral
Tui đang hơi đuối,Chitchat,Negative
Tui đang rảnh xíu,Chitchat,Neutral
Tui đang rảnh xíu #282,Chitchat,Neutral
Tui đang rảnh xỉu,Chitchat,Neutral
Tâm trạng hôm nay ổn không,Chitchat,Neutral
Tâm trạng tệ quá,Chitchat,Negative
Tâm trạng ổn hơn nhiều,Chitchat,Positive
Tạm biệt nè,Chitchat,Positive
Tết xa nhà hơi buồn xíu,Chitchat,Negative
Tối nay ngủ sớm nha,Chitchat,Neutral
Vui khi co ban,Chitchat,Positive
Vui qua di mat,Chitchat,Positive
Vui qua khong ta noi,Chitchat,Positive
Vui suong vo cung,Chitchat,Positive
Vui ve qua di,Chitchat,Positive
Xỉu ngang vì bạn,Chitchat,Positive
Xỉu ngang vì bạn luôn,Chitchat,Positive
Xỉu ngang vì bạn nha,Chitchat,Positive
Xịn sò luôn,Chitchat,Positive
Yeu doi qua di,Chitchat,Positive
Yo a,Chitchat,Neutral
Yo ban,Chitchat,Negative
Yo bot,Chitchat,Positive
Yo bro,Chitchat,Neutral
Yo bro #273,Chitchat,Neutral
Yo bro #298,Chitchat,Neutral
Yo chut xiu,Chitchat,Neutral
Yo di,Chitchat,Neutral
Yo ha,Chitchat,Neutral
Yo hen,Chitchat,Neutral
Yo may,Chitchat,Neutral
Yo minh di day,Chitchat,Neutral
Yo nha,Chitchat,Negative
Yo nhe,Chitchat,Neutral
Yo oi,Chitchat,Neutral
Yo thoi,Chitchat,Neutral
Yo thoi nha,Chitchat,Positive
Yo thui,Chitchat,Positive
Yo vay,Chitchat,Neutral
ai tao ra ban,Chitchat,Neutral
ai tao ra ban ban,Chitchat,Neutral
ai tao ra ban bot,Chitchat,Neutral
ai tao ra ban di,Chitchat,Neutral
ai tao ra ban ha,Chitchat,Neutral
ai tao ra ban nha,Chitchat,Neutral
ai tao ra ban oi,Chitchat,Neutral
ai tao ra ban thoi,Chitchat,Neutral
ai tao ra ban vay,Chitchat,Neutral
app co bao cao khong,Chitchat,Neutral
app co ghi chi tieu khong hay chi tro chuyen,Chitchat,Neutral
app co mien phi khong,Chitchat,Neutral
app de lam gi,Chitchat,Neutral
app de lam gi di,Chitchat,Neutral
app de lam gi nha,Chitchat,Neutral
app de lam gi vay,Chitchat,Neutral
app hay,Chitchat,Positive
app hay bot,Chitchat,Positive
app hay di,Chitchat,Positive
app hay ha,Chitchat,Positive
app hay nha,Chitchat,Positive
app hay qua,Chitchat,Positive
app hay qua ban,Chitchat,Positive
app hay qua bot,Chitchat,Positive
app hay qua di,Chitchat,Positive
app hay qua ha,Chitchat,Positive
app hay qua nha,Chitchat,Positive
app hay qua oi,Chitchat,Positive
app hay qua thoi,Chitchat,Positive
app hay qua vay,Chitchat,Positive
app hay vay,Chitchat,Positive
app kia bật dark mode xấu quá cười muốn xỉu,Chitchat,Positive
app lam gi,Chitchat,Neutral
app lam gi ban,Chitchat,Neutral
app lam gi bot,Chitchat,Neutral
app lam gi di,Chitchat,Neutral
app lam gi ha,Chitchat,Neutral
app lam gi nha,Chitchat,Neutral
app lam gi oi,Chitchat,Neutral
app lam gi thoi,Chitchat,Neutral
app lam gi vay,Chitchat,Neutral
app nay co chuc nang gi,Chitchat,Neutral
app nay de lam gi,Chitchat,Neutral
app nay de lam gi a,Chitchat,Negative
app nay de lam gi ban,Chitchat,Neutral
app nay de lam gi bot,Chitchat,Negative
app nay de lam gi chut xiu,Chitchat,Positive
app nay de lam gi di,Chitchat,Neutral
app nay de lam gi ha,Chitchat,Neutral
app nay de lam gi hen,Chitchat,Negative
app nay de lam gi may,Chitchat,Neutral
app nay de lam gi minh di day,Chitchat,Neutral
app nay de lam gi nha,Chitchat,Negative
app nay de lam gi nhe,Chitchat,Neutral
app nay de lam gi oi,Chitchat,Negative
app nay de lam gi thoi,Chitchat,Positive
app nay de lam gi thoi nha,Chitchat,Neutral
app nay de lam gi thui,Chitchat,Neutral
app nay de lam gi vay,Chitchat,Neutral
app nay lam gi,Chitchat,Neutral
app nay lam gi di,Chitchat,Neutral
app nay lam gi nha,Chitchat,Neutral
app nay lam gi vay,Chitchat,Neutral
app quan ly chi tieu la sao,Chitchat,Neutral
ban chay tren gi,Chitchat,Neutral
ban chay tren gi ban,Chitchat,Neutral
ban chay tren gi bot,Chitchat,Neutral
ban chay tren gi di,Chitchat,Neutral
ban chay tren gi ha,Chitchat,Neutral
ban chay tren gi nha,Chitchat,Neutral
ban chay tren gi oi,Chitchat,Neutral
ban chay tren gi thoi,Chitchat,Neutral
ban chay tren gi vay,Chitchat,Neutral
ban co ban khong,Chitchat,Negative
ban co ban khong a,Chitchat,Neutral
ban co ban khong ban,Chitchat,Neutral
ban co ban khong bot,Chitchat,Neutral
ban co ban khong chut xiu,Chitchat,Neutral
ban co ban khong di,Chitchat,Neutral
ban co ban khong ha,Chitchat,Neutral
ban co ban khong hen,Chitchat,Neutral
ban co ban khong may,Chitchat,Neutral
ban co ban khong minh di day,Chitchat,Neutral
ban co ban khong nha,Chitchat,Positive
